EventName	EventType	EventTypeId	Country	City	ContinentCode	Subcontinent	StartDateTime	EndDateTime	EventId	Event_Tier_Name
WTT Star Contender Doha 2022	WTT Star Contender	35	Qatar	Doha	asia	west asia	2022-03-25T00:00:00	2022-03-31T00:00:00	2533	
WTT Feeder Doha 2022	WTT Feeder	81	Qatar	Doha	asia	west asia	2022-03-13T00:00:00	2022-03-17T00:00:00	2534	
2022 ITTF World Team Championships Finals Presented by China Telecom	WTTC	37	China	Chengdu	asia	east asia	2022-09-30T00:00:00	2022-10-09T00:00:00	2535	
Singapore Smash 2022	WTT Grand Smash	64	Singapore	Singapore	asia	south east asia	2022-03-07T00:00:00	2022-03-20T00:00:00	2536	
WTT Contender Zagreb 2022	WTT Feeder	81	Croatia	Zagreb	europe	southern europe	2022-06-13T00:00:00	2022-06-19T00:00:00	2539	
WTT Feeder Otocec 2022 Presented by I Feel Slovenia	WTT Feeder	81	Slovenia	Otocec	europe	southern europe	2022-06-20T00:00:00	2022-06-26T00:00:00	2540	
WTT Feeder Olomouc 2022	WTT Feeder	81	Czechia	Olomouc	europe	eastern europe	2022-08-23T00:00:00	2022-08-28T00:00:00	2541	
WTT Feeder Panagyurishte Presented by Asarel	WTT Feeder	81	Bulgaria	Panagyurishte	europe	eastern europe	2022-08-30T00:00:00	2022-09-04T00:00:00	2542	
WTT Contender Tunis 2022	WTT Contender	34	Tunisia	Tunis	africa	north africa	2022-08-01T00:00:00	2022-08-06T00:00:00	2568	
WTT Feeder Fremont 2022	WTT Feeder	81	USA	Fremont	americas	northern america	2022-05-05T00:00:00	2022-05-08T00:00:00	2569	
WTT Feeder Westchester 2022	WTT Feeder	81	USA	Pleasantville	americas	northern america	2022-05-11T00:00:00	2022-05-15T00:00:00	2570	
WTT Contender Lima 2022	WTT Contender	34	Peru	Lima	americas	south america	2022-06-14T00:00:00	2022-06-19T00:00:00	2574	
WTT Contender Nova Gorica 2022 Presented by I Feel Slovenia	WTT Contender	34	Slovenia	Nova Gorica	europe	southern europe	2022-10-31T00:00:00	2022-11-06T00:00:00	2589	
WTT Star Contender European Summer Series 2022	WTT Star Contender	35	Hungary	Budapest	europe	eastern europe	2022-07-11T00:00:00	2022-07-17T00:00:00	2591	
WTT Feeder European Summer Series 2022	WTT Feeder	81	Hungary	Budapest	europe	eastern europe	2022-07-18T00:00:00	2022-07-22T00:00:00	2592	
WTT Champions European Summer Series 2022	WTT Champions	65	Hungary	Budapest	europe	eastern europe	2022-07-18T00:00:00	2022-07-23T00:00:00	2593	
WTT Contender Muscat 2022	WTT Contender	34	Oman	Muscat	asia	west asia	2022-09-05T00:00:00	2022-09-10T00:00:00	2605	
WTT Contender Almaty 2022	WTT Contender	34	Kazakhstan	Almaty	asia	middle asia	2022-09-13T00:00:00	2022-09-18T00:00:00	2606	
WTT Champions Macao 2022 Presented by Galaxy Entertainment Group	WTT Champions	65	Macao, China	Macao	asia	east asia	2022-10-19T00:00:00	2022-10-23T00:00:00	2619	
WTT Cup Finals Xinxiang 2022 Presented by China Construction Bank	WTT Cup Finals	91	China	Xinxiang	asia	east asia	2022-10-27T00:00:00	2022-10-30T00:00:00	2627	
WTT Feeder Fort Lauderdale 2022	WTT Feeder	81	USA	Fort Lauderdale	americas	northern america	2022-12-11T00:00:00	2022-12-14T00:00:00	2630	
WTT Feeder Düsseldorf III 2022	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2022-11-22T00:00:00	2022-11-25T00:00:00	2658	
Singapore Smash 2023	WTT Grand Smash	64	Singapore	Singapore	asia	south east asia	2023-03-07T00:00:00	2023-03-19T00:00:00	2629	
2023 ITTF World Table Tennis Championships Finals	WTTC	37	South Africa	Durban	africa	southern africa	2023-05-20T00:00:00	2023-05-28T00:00:00	2660	
WTT Contender Tunis 2023 Presented by KIA	WTT Contender	34	Tunisia	Tunis	africa	north africa	2023-06-20T00:00:00	2023-06-25T00:00:00	2691	
WTT Contender Zagreb 2023	WTT Contender	34	Croatia	Zagreb	europe	southern europe	2023-06-26T00:00:00	2023-07-02T00:00:00	2692	
WTT Contender Lagos 2023	WTT Contender	34	Nigeria	Lagos	africa	west africa	2023-06-12T00:00:00	2023-06-18T00:00:00	2693	
WTT Star Contender Ljubljana 2023 Presented by I Feel Slovenia	WTT Star Contender	35	Slovenia	Ljubljana	europe	southern europe	2023-07-03T00:00:00	2023-07-09T00:00:00	2694	
WTT Star Contender Bangkok 2023	WTT Star Contender	35	Thailand	Bangkok	asia	south east asia	2023-04-23T00:00:00	2023-04-29T00:00:00	2695	
WTT Star Contender Goa 2023	WTT Star Contender	35	India	Goa	asia	south asia	2023-02-27T00:00:00	2023-03-05T00:00:00	2696	
WTT Contender Amman 2023	WTT Contender	34	Jordan	Amman	asia	west asia	2023-02-06T00:00:00	2023-02-12T00:00:00	2697	
WTT Contender Doha 2023	WTT Contender	34	Qatar	Doha	asia	west asia	2023-01-15T00:00:00	2023-01-21T00:00:00	2698	
WTT Contender Durban 2023	WTT Contender	34	South Africa	Durban	africa	southern africa	2023-01-10T00:00:00	2023-01-15T00:00:00	2699	
WTT Feeder Amman 2023	WTT Feeder	81	Jordan	Amman	asia	west asia	2023-02-01T00:00:00	2023-02-04T00:00:00	2700	
WTT Feeder Doha 2023	WTT Feeder	81	Qatar	Doha	asia	west asia	2023-01-22T00:00:00	2023-01-26T00:00:00	2701	
WTT Feeder Düsseldorf 2023	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2023-02-14T00:00:00	2023-02-17T00:00:00	2702	
WTT Feeder Düsseldorf II 2023	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2023-02-21T00:00:00	2023-02-24T00:00:00	2703	
WTT Feeder Antalya 2023	WTT Feeder	81	Türkiye	Antalya	europe	southern europe	2023-03-27T00:00:00	2023-04-01T00:00:00	2704	
WTT Champions Frankfurt 2023	WTT Champions	65	Germany	Frankfurt	europe	western europe	2023-10-29T00:00:00	2023-11-05T00:00:00	2705	
WTT Contender Lima 2023	WTT Contender	34	Peru	Lima	americas	south america	2023-07-31T00:00:00	2023-08-06T00:00:00	2721	
WTT Contender Rio de Janeiro 2023	WTT Contender	34	Brazil	Rio De Janeiro	americas	south america	2023-08-07T00:00:00	2023-08-13T00:00:00	2722	
WTT Feeder Panagyurishte 2023 presented by ASAREL 	WTT Feeder	81	Bulgaria	Panagyurishte	europe	eastern europe	2023-08-29T00:00:00	2023-09-03T00:00:00	2723	
WTT Feeder Olomouc 2023	WTT Feeder	81	Czechia	Olomouc	europe	eastern europe	2023-08-22T00:00:00	2023-08-27T00:00:00	2724	
WTT Champions Macao 2023 Presented by Galaxy Entertainment Group	WTT Champions	65	Macao, China	Macao	asia	east asia	2023-04-17T00:00:00	2023-04-23T00:00:00	2728	
WTT Feeder Biella 2023	WTT Feeder	81	Italy	Biella	europe	southern europe	2023-12-12T00:00:00	2023-12-17T00:00:00	2732	
WTT Feeder Otocec 2023 presented by I Feel Slovenia	WTT Feeder	81	Slovenia	Otocec	europe	southern europe	2023-10-30T00:00:00	2023-11-05T00:00:00	2733	
WTT Feeder Doha II 2023	WTT Feeder	81	Qatar	Doha	asia	west asia	2023-10-17T00:00:00	2023-10-19T00:00:00	2734	
WTT Feeder Vila Nova de Gaia 2023	WTT Feeder	81	Portugal	Vila Nova de Gaia	europe	southern europe	2023-11-22T00:00:00	2023-11-25T00:00:00	2735	
WTT Champions Xinxiang 2023 Presented by Industrial and Commercial Bank of China	WTT Champions	65	China	Xinxiang	asia	east asia	2023-04-09T00:00:00	2023-04-15T00:00:00	2737	
WTT Feeder Stockholm 2023	WTT Feeder	81	Sweden	Stockhom	europe	northern europe	2023-10-02T00:00:00	2023-10-07T00:00:00	2738	
WTT Contender Almaty 2023	WTT Contender	34	Kazakhstan	Almaty	asia	middle asia	2023-08-29T00:00:00	2023-09-03T00:00:00	2739	
WTT Feeder Bangkok 2023	WTT Feeder	81	Thailand	Bangkok	asia	south east asia	2023-09-04T00:00:00	2023-09-09T00:00:00	2740	
WTT Contender Antalya 2023	WTT Contender	34	Türkiye	Antalya	europe	southern europe	2023-10-16T00:00:00	2023-10-22T00:00:00	2742	
WTT Feeder Havirov 2023	WTT Feeder	81	Czechia	Havirov	europe	eastern europe	2023-07-27T00:00:00	2023-07-30T00:00:00	2750	
WTT Feeder Düsseldorf III 2023	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2023-11-27T00:00:00	2023-12-01T00:00:00	2755	
WTT Contender Muscat 2023	WTT Contender	34	Oman	Muscat	asia	west asia	2023-10-08T00:00:00	2023-10-14T00:00:00	2775	
WTT Finals Women Nagoya 2023	WTT Finals	75	Japan	Nagoya	asia	east asia	2023-12-15T00:00:00	2023-12-17T00:00:00	2776	
WTT Star Contender Lanzhou 2023 Presented by Huanchen Sports	WTT Star Contender	35	China	Lanzhou	asia	east asia	2023-10-02T00:00:00	2023-10-08T00:00:00	2777	
WTT Contender Taiyuan 2023	WTT Contender	34	China	Taiyuan	asia	east asia	2023-11-07T00:00:00	2023-11-12T00:00:00	2794	
Paris 2024 Olympic Games	Olympic Games	85	France	Paris	europe	western europe	2024-07-26T00:00:00	2024-08-11T00:00:00	2603	WTT Series
ITTF World Team Table Tennis Championships Finals Busan 2024 Presented by BNK Busan Bank	WTTC	37	Korea Republic	Busan	asia	east asia	2024-02-16T00:00:00	2024-02-25T00:00:00	2751	
WTT Contender Doha 2024	WTT Contender	34	Qatar	Doha	asia	west asia	2024-01-14T00:00:00	2024-01-20T00:00:00	2861	WTT Series
WTT Star Contender Doha 2024	WTT Star Contender	35	Qatar	Doha	asia	west asia	2024-01-08T00:00:00	2024-01-13T00:00:00	2862	WTT Series
WTT Star Contender Goa 2024 Presented by Parimatch Sports	WTT Star Contender	35	India	Goa	asia	south asia	2024-01-23T00:00:00	2024-01-28T00:00:00	2863	WTT Series
WTT Contender Taiyuan 2024	WTT Contender	34	China	Taiyuan	asia	east asia	2024-05-21T00:00:00	2024-05-26T00:00:00	2865	WTT Series
WTT Finals Men Doha 2023	WTT Finals	75	Qatar	Doha	asia	west asia	2024-01-03T00:00:00	2024-01-05T00:00:00	2866	WTT Series
WTT Contender Rio de Janeiro 2024	WTT Contender	34	Brazil	Rio De Janeiro	americas	south america	2024-05-20T00:00:00	2024-05-26T00:00:00	2867	WTT Series
WTT Contender Lagos 2024	WTT Contender	34	Nigeria	Lagos	africa	west africa	2024-06-19T00:00:00	2024-06-23T00:00:00	2868	WTT Series
WTT Contender Zagreb 2024	WTT Contender	34	Croatia	Zagreb	europe	southern europe	2024-06-03T00:00:00	2024-06-09T00:00:00	2869	WTT Series
WTT Star Contender Ljubljana 2024 Presented by I Feel Slovenia	WTT Star Contender	35	Slovenia	Ljubljana	europe	southern europe	2024-06-11T00:00:00	2024-06-16T00:00:00	2870	WTT Series
WTT Contender Tunis 2024 Presented by KIA	WTT Contender	34	Tunisia	Tunis	africa	north africa	2024-06-25T00:00:00	2024-06-30T00:00:00	2871	WTT Series
WTT Contender Lima 2024	WTT Contender	34	Peru	Lima	americas	south america	2024-08-21T00:00:00	2024-08-25T00:00:00	2872	WTT Series
WTT Contender Almaty 2024	WTT Contender	34	Kazakhstan	Almaty	asia	middle asia	2024-09-03T00:00:00	2024-09-08T00:00:00	2873	WTT Series
WTT Champions Frankfurt 2024	WTT Champions	65	Germany	Frankfurt	europe	western europe	2024-11-03T00:00:00	2024-11-10T00:00:00	2877	WTT Series
WTT Feeder Corpus Christi 2024	WTT Feeder	81	USA	Corpus Christi	americas	northern america	2024-01-15T00:00:00	2024-01-18T00:00:00	2878	WTT Feeder Series
WTT Feeder Manchester 2024	WTT Feeder	81	England	Manchester	europe	northern europe	2024-02-01T00:00:00	2024-02-04T00:00:00	2879	WTT Feeder Series
WTT Feeder Otocec 2024 Presented by I Feel Slovenia	WTT Feeder	81	Slovenia	Otocec	europe	southern europe	2024-03-26T00:00:00	2024-04-01T00:00:00	2880	WTT Feeder Series
WTT Feeder Düsseldorf 2024	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2024-04-08T00:00:00	2024-04-12T00:00:00	2881	WTT Feeder Series
WTT Feeder Varazdin 2024	WTT Feeder	81	Croatia	Varaždin	europe	southern europe	2024-04-02T00:00:00	2024-04-07T00:00:00	2882	WTT Feeder Series
WTT Feeder Havirov 2024	WTT Feeder	81	Czechia	Havirov	europe	eastern europe	2024-04-14T00:00:00	2024-04-17T00:00:00	2883	WTT Feeder Series
WTT Feeder Olomouc 2024	WTT Feeder	81	Czechia	Olomouc	europe	eastern europe	2024-08-21T00:00:00	2024-08-25T00:00:00	2884	WTT Feeder Series
WTT Feeder Panagyurishte 2024 Presented by Asarel	WTT Feeder	81	Bulgaria	Panagyurishte	europe	eastern europe	2024-09-11T00:00:00	2024-09-15T00:00:00	2885	WTT Feeder Series
WTT Feeder Halmstad 2024	WTT Feeder	81	Sweden	Halmstad	europe	northern europe	2024-09-16T00:00:00	2024-09-21T00:00:00	2886	WTT Feeder Series
WTT Feeder Doha 2024	WTT Feeder	81	Qatar	Doha	asia	west asia	2024-10-03T00:00:00	2024-10-06T00:00:00	2887	WTT Feeder Series
WTT Feeder Cagliari 2024	WTT Feeder	81	Italy	Cagliari	europe	southern europe	2024-10-22T00:00:00	2024-10-27T00:00:00	2889	WTT Feeder Series
WTT Feeder Düsseldorf II 2024	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2024-11-18T00:00:00	2024-11-22T00:00:00	2890	WTT Feeder Series
WTT Feeder Vila Nova de Gaia 2024	WTT Feeder	81	Portugal	Vila Nova de Gaia	europe	southern europe	2024-11-23T00:00:00	2024-11-27T00:00:00	2891	WTT Feeder Series
WTT Feeder Beirut 2024	WTT Feeder	81	Lebanon	Beirut	asia	west asia	2024-03-19T00:00:00	2024-03-21T00:00:00	2893	WTT Feeder Series
WTT Feeder Beirut II 2024	WTT Feeder	81	Lebanon	Beirut	asia	west asia	2024-03-22T00:00:00	2024-03-24T00:00:00	2894	WTT Feeder Series
WTT Champions Incheon 2024 Presented by Shinhan Bank	WTT Champions	65	Korea Republic	Incheon	asia	east asia	2024-03-27T00:00:00	2024-03-31T00:00:00	2899	WTT Series
WTT Star Contender Bangkok 2024	WTT Star Contender	35	Thailand	Bangkok	asia	south east asia	2024-07-02T00:00:00	2024-07-07T00:00:00	2900	WTT Series
Singapore Smash 2024	WTT Grand Smash	64	Singapore	Singapore	asia	south east asia	2024-03-07T00:00:00	2024-03-17T00:00:00	2904	WTT Series
WTT Feeder Cappadocia 2024	WTT Feeder	81	Türkiye	Cappadocia - Nevsehir	europe	southern europe	2024-05-13T00:00:00	2024-05-17T00:00:00	2911	WTT Feeder Series
WTT Feeder Caracas 2024	WTT Feeder	81	Venezuela	Caracas	americas	south america	2024-10-30T00:00:00	2024-11-03T00:00:00	2912	WTT Feeder Series
Saudi Smash 2024	WTT Grand Smash	64	Saudi Arabia	Jeddah	asia	west asia	2024-05-01T00:00:00	2024-05-11T00:00:00	2932	WTT Series
WTT Contender Mendoza 2024	WTT Contender	34	Argentina	Mendoza	americas	south america	2024-05-27T00:00:00	2024-06-02T00:00:00	2934	WTT Series
ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2024 PRESENTED BY GALAXY ENTERTAINMENT GROUP	Singles World Cup	95	Macao, China	Macao	asia	east asia	2024-04-15T00:00:00	2024-04-21T00:00:00	2937	
WTT Champions Montpellier 2024	WTT Champions	65	France	Montpellier	europe	western europe	2024-10-22T00:00:00	2024-10-27T00:00:00	2940	WTT Series
WTT Champions Chongqing 2024 Presented by Changan	WTT Champions	65	China	Chongqing	asia	east asia	2024-05-30T00:00:00	2024-06-03T00:00:00	2941	WTT Series
China Smash 2024 Presented by Zhonghui Life Insurance	WTT Grand Smash	64	China	Beijing	asia	east asia	2024-09-26T00:00:00	2024-10-06T00:00:00	2942	WTT Series
WTT Finals Fukuoka 2024	WTT Finals	75	Japan	Kitakyushu	asia	east asia	2024-11-20T00:00:00	2024-11-24T00:00:00	2947	WTT Series
WTT Feeder Prishtina 2024	WTT Feeder	81	Kosovo	Prishtina	europe	southern europe	2024-10-28T00:00:00	2024-11-01T00:00:00	2964	WTT Feeder Series
WTT Feeder Muscat 2024	WTT Feeder	81	Oman	Muscat	asia	west asia	2024-08-29T00:00:00	2024-09-01T00:00:00	2965	WTT Feeder Series
WTT Champions Macao 2024 Presented by Galaxy Entertainment Group	WTT Champions	65	Macao, China	Macao	asia	east asia	2024-09-09T00:00:00	2024-09-15T00:00:00	2983	WTT Series
WTT Contender Muscat 2024	WTT Contender	34	Oman	Muscat	asia	west asia	2024-10-27T00:00:00	2024-11-02T00:00:00	2997	WTT Series
WTT Feeder Düsseldorf 2025	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2025-02-11T00:00:00	2025-02-14T00:00:00	3020	WTT Feeder Series
WTT Feeder Manchester 2025	WTT Feeder	81	England	Manchester	europe	northern europe	2025-04-24T00:00:00	2025-04-27T00:00:00	3023	WTT Feeder Series
WTT Feeder Otocec 2025 Presented by I Feel Slovenia 	WTT Feeder	81	Slovenia	Otocec	europe	southern europe	2025-03-25T00:00:00	2025-03-29T00:00:00	3024	WTT Feeder Series
WTT Feeder Otocec II 2025 Presented by I Feel Slovenia 	WTT Feeder	81	Slovenia	Otocec	europe	southern europe	2025-03-30T00:00:00	2025-04-03T00:00:00	3025	WTT Feeder Series
WTT Feeder Doha 2025	WTT Feeder	81	Qatar	Doha	asia	west asia	2025-02-04T00:00:00	2025-02-08T00:00:00	3026	WTT Feeder Series
WTT Feeder Panagyurishte 2025	WTT Feeder	81	Bulgaria	Panagyurishte	europe	eastern europe	2025-08-20T00:00:00	2025-08-24T00:00:00	3027	WTT Feeder Series
WTT Feeder Olomouc 2025	WTT Feeder	81	Czechia	Olomouc	europe	eastern europe	2025-08-26T00:00:00	2025-08-31T00:00:00	3028	WTT Feeder Series
WTT Feeder Cappadocia 2025	WTT Feeder	81	Türkiye	Cappadocia - Nevsehir	europe	southern europe	2025-02-17T00:00:00	2025-02-21T00:00:00	3030	WTT Feeder Series
WTT Feeder Cappadocia II 2025	WTT Feeder	81	Türkiye	Cappadocia - Nevsehir	europe	southern europe	2025-09-16T00:00:00	2025-09-20T00:00:00	3031	WTT Feeder Series
WTT Feeder Prishtina 2025	WTT Feeder	81	Kosovo	Prishtina	europe	southern europe	2025-06-03T00:00:00	2025-06-07T00:00:00	3058	WTT Feeder Series
WTT Feeder Rimini 2025	WTT Feeder	81	Italy		europe	southern europe	2025-10-28T00:00:00	2025-11-02T00:00:00	3059	WTT Feeder Series
WTT Feeder Düsseldorf II 2025	WTT Feeder	81	Germany	Düsseldorf	europe	western europe	2025-11-24T00:00:00	2025-11-28T00:00:00	3065	WTT Feeder Series
WTT Feeder Vila Nova de Gaia 2025	WTT Feeder	81	Portugal	Vila Nova de Gaia	europe	southern europe	2025-11-05T00:00:00	2025-11-09T00:00:00	3066	WTT Feeder Series
WTT Feeder Havirov 2025	WTT Feeder	81	Czechia	Havirov	europe	eastern europe	2025-04-05T00:00:00	2025-04-09T00:00:00	3069	WTT Feeder Series
United States Smash 2025	WTT Grand Smash	64	USA	Las Vegas	americas	northern america	2025-07-03T00:00:00	2025-07-13T00:00:00	3082	WTT Series
WTT Star Contender Doha 2025	WTT Star Contender	35	Qatar	Doha	asia	west asia	2025-01-06T00:00:00	2025-01-11T00:00:00	3083	WTT Series
WTT Contender Muscat 2025	WTT Contender	34	Oman	Muscat	asia	west asia	2025-01-11T00:00:00	2025-01-17T00:00:00	3084	WTT Series
Singapore Smash 2025	WTT Grand Smash	64	Singapore	Singapore	asia	south east asia	2025-01-30T00:00:00	2025-02-09T00:00:00	3085	WTT Series
WTT Champions Chongqing 2025 Presented by AITO	WTT Champions	65	China	Chongqing	asia	east asia	2025-03-11T00:00:00	2025-03-16T00:00:00	3086	WTT Series
WTT Champions Incheon 2025	WTT Champions	65	Korea Republic	Incheon	asia	east asia	2025-04-01T00:00:00	2025-04-06T00:00:00	3087	WTT Series
WTT Contender Taiyuan 2025	WTT Contender	34	China	Taiyuan	asia	east asia	2025-04-08T00:00:00	2025-04-13T00:00:00	3088	WTT Series
WTT Contender Tunis 2025 Presented By Tunisie Telecom	WTT Contender	34	Tunisia	Tunis	africa	north africa	2025-04-22T00:00:00	2025-04-27T00:00:00	3089	WTT Series
WTT Contender Skopje 2025	WTT Contender	34	North Macedonia	Skopje	europe	southern europe	2025-06-09T00:00:00	2025-06-15T00:00:00	3090	WTT Series
WTT Star Contender Ljubljana 2025	WTT Star Contender	35	Slovenia	Ljubljana	europe	southern europe	2025-06-17T00:00:00	2025-06-22T00:00:00	3091	WTT Series
WTT Contender Zagreb 2025	WTT Contender	34	Croatia	Zagreb	europe	southern europe	2025-06-24T00:00:00	2025-06-29T00:00:00	3092	WTT Series
WTT Star Contender Foz do Iguaçu 2025	WTT Star Contender	35	Brazil	Foz do Iguaçu	americas	south america	2025-07-29T00:00:00	2025-08-03T00:00:00	3093	WTT Series
WTT Champions Yokohama 2025	WTT Champions	65	Japan		asia	east asia	2025-08-07T00:00:00	2025-08-11T00:00:00	3094	WTT Series
WTT Contender Almaty 2025	WTT Contender	34	Kazakhstan	Almaty	asia	middle asia	2025-09-01T00:00:00	2025-09-07T00:00:00	3096	WTT Series
WTT Champions Macao 2025	WTT Champions	65	Macao, China	Macao	asia	east asia	2025-09-09T00:00:00	2025-09-14T00:00:00	3097	WTT Series
China Smash 2025	WTT Grand Smash	64	China	Beijing	asia	east asia	2025-09-25T00:00:00	2025-10-05T00:00:00	3098	WTT Series
WTT Champions Montpellier 2025	WTT Champions	65	France	Montpellier	europe	western europe	2025-10-28T00:00:00	2025-11-02T00:00:00	3099	WTT Series
WTT Champions Frankfurt 2025	WTT Champions	65	Germany	Frankfurt	europe	western europe	2025-11-04T00:00:00	2025-11-09T00:00:00	3100	WTT Series
ITTF African Championships 2025	WTTC Finals Continental Qualifications	89	Rwanda	Kigali	africa	east africa	2025-10-12T00:00:00	2025-10-19T00:00:00	3104	
ITTF World Table Tennis Championships Finals Doha 2025	WTTC	37	Qatar	Doha	asia	west asia	2025-05-17T00:00:00	2025-05-25T00:00:00	3108	
ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2025 PRESENTED BY GALAXY ENTERTAINMENT GROUP	Singles World Cup	95	Macao, China		asia	east asia	2025-04-14T00:00:00	2025-04-20T00:00:00	3109	
WTT Star Contender London 2025	WTT Star Contender	35	England	London	europe	northern europe	2025-10-21T00:00:00	2025-10-26T00:00:00	3110	WTT Series
WTT Finals Hong Kong 2025	WTT Finals	75	Hong Kong, China		asia	east asia	2025-12-10T00:00:00	2025-12-14T00:00:00	3112	WTT Series
WTT Contender Lagos 2025	WTT Contender	34	Nigeria	Lagos	africa	west africa	2025-07-21T00:00:00	2025-07-27T00:00:00	3121	WTT Series
Europe Smash - Sweden 2025	WTT Grand Smash	64	Sweden	Malmö	europe	northern europe	2025-08-14T00:00:00	2025-08-24T00:00:00	3128	WTT Series
WTT Feeder Vientiane 2025	WTT Feeder	81	Laos		asia	south east asia	2025-08-11T00:00:00	2025-08-15T00:00:00	3131	WTT Feeder Series
WTT Star Contender Chennai 2025 Presented by IndianOil	WTT Star Contender	35	India	Chennai	asia	south asia	2025-03-25T00:00:00	2025-03-30T00:00:00	3133	WTT Series
ITTF Oceania Championships 2025	WTTC Finals Continental Qualifications	89	New Zealand	Christchurch	oceania	australasia	2025-06-07T00:00:00	2025-06-11T00:00:00	3147	
WTT Contender Buenos Aires 2025	WTT Contender	34	Argentina	Buenos Aires	americas	south america	2025-07-22T00:00:00	2025-07-27T00:00:00	3175	WTT Series
WTT Star Contender Muscat 2025	WTT Star Contender	35	Oman	Muscat	asia	west asia	2025-11-17T00:00:00	2025-11-22T00:00:00	3176	WTT Series
WTT Feeder Spokane 2025	WTT Feeder	81	USA	Spokane 	americas	northern america	2025-08-05T00:00:00	2025-08-08T00:00:00	3177	WTT Feeder Series
WTT Feeder Spokane II 2025	WTT Feeder	81	USA	Spokane 	americas	northern america	2025-08-09T00:00:00	2025-08-12T00:00:00	3178	WTT Feeder Series
ITTF World Team Table Tennis Championships Finals London 2026	WTTC	37	England	London	europe	northern europe	2026-04-28T00:00:00	2026-05-10T00:00:00	3216	
WTT Champions Doha 2026	WTT Champions	65	Qatar	Doha	asia	west asia	2026-01-07T00:00:00	2026-01-11T00:00:00	3231	WTT Series
WTT Star Contender Doha 2026	WTT Star Contender	35	Qatar	Doha	asia	west asia	2026-01-13T00:00:00	2026-01-18T00:00:00	3232	WTT Series
